Region,GDP_per_captia,Ln_GDP,Residential_Population,Ln_Res
Chengdu,33476,4.524733559,1658.1,3.219610719
Panzhihua,30362,4.482330376,121.4,2.084218687
Mianyang,27170,4.434089638,487.7,2.688152756
Deyang,27049,4.432151214,356.1,2.551571974
Luzhou,26656,4.42579498,432.94,2.636427713
Ziyang,26424,4.421998561,250.3,2.39846085
Meishan,26395,4.421521666,299.5,2.476396827
Leshan,26361,4.420961881,327.1,2.514680544
Zigong,26267,4.419410474,292.2,2.465680212
Yibin,26207,4.418417309,457.3,2.660201201
Guang'An,26072,4.416174347,325.1,2.512016969
Aba,25939,4.413953229,94.6,1.975891136
Neijiang,25787,4.41140082,370,2.568201724
Ya'An,25318,4.403429396,154.1,2.187802639
Suining,25012,4.39814842,318.9,2.503654519
Ganzi,24978,4.397557661,119.9,2.078819183
Liangshan,24084,4.381728619,531.03,2.725119057
Nanchong,23950,4.379305518,643.5,2.808548551
Dazhou,23884,4.378107063,574.1,2.758987547
Bazhong,23845,4.377397327,331.92,2.521033422
Guangyuan,23628,4.373426962,267.5,2.427323786
